Tue Apr 28 21:11:53 +0000 2020, --> ,RTs: 8, --> ,@kourtney152253 @melshappylife Apparently not since white people have been verbally and physically attacking Asian people since the start of this virus....and then proceed to be the ones who walk out the house without masks and gloves putting everyone in danger. 
Tue Apr 28 21:09:52 +0000 2020, --> ,RTs: 1, --> ,@Snow_Miser_ @jasnotron @washingtonpost It's a form of racial scapegoating. Call it Wuhan virus and ignorant people will associate it with Asian persons. It's happening all over the US. 
Tue Apr 28 20:58:50 +0000 2020, --> ,RTs: 0, --> ,Here’s what serial liar Nancy Pelosi was REALLY up to when the Wuhan Virus was raging &amp; the POTUS was correctly banning certain travel from China.  She’s a fraud &amp; you’re a moron if you buy her obvious BS.👇🏻👇🏻 https://t.co/nPTb4lqbuH 
Tue Apr 28 21:12:03 +0000 2020, --> ,RTs: 0, --> ,@samjackgilmore I think China already had a vaccine before china deliberately released the virus in the wuhan market to cause damage to the rest of the worlds economies and decrease there own population (21 million Chinese phone accounts deleted). 
Tue Apr 28 21:12:03 +0000 2020, --> ,RTs: 170, --> ,JUTAAN PENGANGGUR mulai muncul di antero China pasca hengkangnya industri AS Eropa &amp; Jepang. Runtuhnya raksasa Kuning akibat main2 dng virus Wuhan akan timbulkan gempa geopolitik di Asia Timur. Dampaknya akan spt runtuhnya UniSovyet. ☆ NKRI must be ancang2 biar tdk kejengkang. https://t.co/9RSxE81Hiz 
Tue Apr 28 21:12:02 +0000 2020, --> ,RTs: 0, --> ,@Undoomed And then they die from the wuhan virus like in war of the worlds 
Tue Apr 28 21:11:54 +0000 2020, --> ,RTs: 27, --> ,@drawandstrike @Olivianuzzi The question she asks is inherently dishonest. President Trump did not create or release the Wuhan virus. He and his administration has been working around the clock to keep America safe. The DNC media complex  AKA the democrats can only whine their FAKE outrage. #Hypocrites 
Tue Apr 28 19:46:25 +0000 2020, --> ,RTs: 0, --> ,If you think the Wuhan virus was released unintentionally you have no idea what is going on &amp; need to research immediately.  Likewise if you think that China intentionally released this virus AND they didn't have help from American assets you also have no idea what's going on. 
Tue Apr 28 21:11:53 +0000 2020, --> ,RTs: 353, --> ,Maybe best news since start of Wuhan Virus!  @WaffleHouse is starting to open up! Other than a vaccine this will have a healing effect.  God bless @WaffleHouse who will cater our first meal When We All Get to Heaven! 
Tue Apr 28 21:11:50 +0000 2020, --> ,RTs: 25, --> ,Trump Bersumpah Bakal Buat China Tanggung Jawab soal Corona   Trump meyakini China seharusnya bisa bertindak lebih responsif dalam memutus penyebaran virus ketika terjadi wabah di Wuhan pada awal tahun ini. --- Kayaknya bakalan seru nih..  https://t.co/neWDF3xmdu 
Tue Apr 28 21:11:43 +0000 2020, --> ,RTs: 0, --> ,@capitalcalculus @htTweets Sounds great. If they won’t stop another corona virus happening again don’t let them comeback until they are transparent. 6-8 million infected people left Wuhan and spread across the world. 
Tue Apr 28 21:11:21 +0000 2020, --> ,RTs: 0, --> ,RETWEET! Bill &amp; Melinda Gates planned the effects of a flu like outbreak/Corona Virus using 5G in Wuhan China! https://t.co/PXDx2fGaaw 
Tue Apr 28 18:59:56 +0000 2020, --> ,RTs: 0, --> ,Media is working overtime to spear our president w/ the Wuhan Virus.  No coverage on his historical undertakings &amp; countless lives saved by his calls to halt travel into the US.  Trump used his coronavirus briefing to make a bizarre claim about the deficit https://t.co/Z7fg8zJxi6 
Tue Apr 28 21:10:59 +0000 2020, --> ,RTs: 272, --> ,Fox News cuts ties with Diamond and Silk because they had the nerve to question the accuracy of the Wuhan virus death tolls? . . pretty soon it's just going to be Donna Brazile Juan Williams and Chris Wallace left. Just the ones who go along with all the bullshit 
Tue Apr 28 21:10:56 +0000 2020, --> ,RTs: 190, --> ,. @elvillegaschile: Premio Nobel de Medicina Tasuku Honjo médico inmunólogo japonés: 'He realizado 40 años de investigación sobre animales y virus. El coronavirus NO es natural. Es artificial y creado en China. Trabajé durante 4 años con científicos en el laboratorio de Wuhan. https://t.co/aOt2bkc8a8 
Tue Apr 28 21:10:56 +0000 2020, --> ,RTs: 0, --> ,@SaraCarterDC @joshrogin According to Professor Luc Montagnier winner of the Nobel Prize for Medicine in 2008 for “discovering” HIV as the cause of the AIDS epidemic the SARS-CoV-2 is a virus that was manipulated and accidentally released from a laboratory in Wuhan China in the last quarter of 2019. 
Tue Apr 28 21:10:48 +0000 2020, --> ,RTs: 10, --> ,Cuando surgió el COVID-19 en Wuhan miles de perros fueron abandonados por miedo al contagio científicamente se ha demostrado que las mascotas no tramiten el virus #LaEstirpedelosLibres @navedelmisterio @Diego_FDM @nachonavarrogil @FPCaballero @carmenporter_ https://t.co/Mh4IidasDH 
Tue Apr 28 21:10:44 +0000 2020, --> ,RTs: 0, --> ,@pbump @StevePatTU  Check out this timeline that shows #coronavirus was the latest phase of China's #bioweapons research:  https://t.co/sFJ3N4ftXQ 
Tue Apr 28 21:10:39 +0000 2020, --> ,RTs: 0, --> ,@FirePro87541275 Ja ik weet er alles van! die babbelende boodschappentas zei op 25 februari dat het virus helemaal niet besmettelijk was op 31 januari tijdens de piek in Wuhan zei ze gewoon het vliegtuig daar naar toe te durven pakken niets aan de hand had ze het maar gedaan enkel reisje! 
Tue Apr 28 21:10:38 +0000 2020, --> ,RTs: 0, --> ,The worse set of supporters I've ever seen are Buharist Northerners &amp; APC they couldn't speak against the inhumanity happening in Kano. If you can't speak against the poor leadership in Kano but you claim to love Buhari my friend you're worse than Wuhan virus. #AmWazirinJos 
Tue Apr 28 21:10:38 +0000 2020, --> ,RTs: 1, --> ,@Sports_Schlub @Donna37148804 @dbongino If they hadn’t budgeted so poorly then they wouldn’t be in the shape they are in currently. They were in a deficit before the Wuhan Virus and there’s no reason why the federal government should put them back in the black. 
Tue Apr 28 21:02:57 +0000 2020, --> ,RTs: 0, --> ,Must-read profile of Matt Pottinger - deputy national security adviser veteran recovering journalist and China skeptic - who pushed to resist #covid19 in favor of Wuhan virus.  https://t.co/FUgIXCsHSy https://t.co/4LVPKT2LvV 
Tue Apr 28 18:02:51 +0000 2020, --> ,RTs: 0, --> ,Bill Gates Conte e il C0-19  Bergamo l'epicentro del virus Wuhan in Italia ha sperimentato un massiccio programma di vaccinazioni in autunno dopo che Conte ha preso il potere. Col programma hanno dato il vaccino antinfluenzale invernale a 120.000 anziani nella provincia:  1. https://t.co/SEmG3729JD 
Tue Apr 28 21:10:30 +0000 2020, --> ,RTs: 0, --> ,Insanity: Wash. State Came One Vote Away From Releasing Green River Serial Killer So He Wouldn't Get Wuhan Virus https://t.co/PRCRrNULBq #NewsandPolitics via @pjmedia_com 
Tue Apr 28 21:10:23 +0000 2020, --> ,RTs: 293, --> ,Think about this: Democrats are finally realizing that their candidate is completely senile; So who do they want to replace him with? The governor who allowed his City to become the epicenter for the Wuhan virus. hard to wrap my mind around this level of stupidity 
